time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-28T06:29:24.270Z,37.0921669,-122.2705002,11.05,2.52,md,45,190,0.2447,0.13,nc,nc72717065,2016-10-29T06:19:48.674Z,"12km WNW of Bonny Doon, California",earthquake,0.51,0.7,0.12,44,automatic,nc,nc
2016-10-28T05:26:57.680Z,-4.7155,153.1534,61.04,5.7,mb,,46,1.115,0.74,us,us100072jv,2016-10-28T15:48:47.000Z,"30km SSE of Taron, Papua New Guinea",earthquake,7.8,6,0.035,291,reviewed,us,us
2016-10-28T05:11:51.000Z,62.2606,-152.3719,118.9,2.8,ml,,,,0.59,ak,ak14280605,2016-10-28T05:41:09.387Z,"117km W of Talkeetna, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-10-28T03:47:32.900Z,-11.8387,-77.1634,62.32,4.9,mb,,152,0.347,0.65,us,us100072jh,2016-10-29T13:59:31.213Z,"21km NW of Independencia, Peru",earthquake,7.1,6.4,0.084,50,reviewed,us,us
2016-10-28T01:31:28.710Z,51.702,-173.5383,32.57,5,mb,,126,1.611,0.67,us,us100072iu,2016-10-28T16:31:03.312Z,"71km SE of Atka, Alaska",earthquake,8.5,5.1,0.026,475,reviewed,us,us
2016-10-28T01:24:44.000Z,18.9568,-65.265,19,3.2,Md,11,252,0.64588869,0.28,pr,pr16302000,2016-10-28T03:23:41.190Z,"72km N of Culebra, Puerto Rico",earthquake,2.1,4.5,0,8,reviewed,pr,pr
2016-10-28T00:44:08.930Z,-30.092,-66.5466,27.12,4,mwr,,112,2.341,1.04,us,us100072iq,2016-10-28T04:46:45.759Z,"37km NW of Chamical, Argentina",earthquake,6.8,5.9,0.041,56,reviewed,us,us
2016-10-28T00:41:58.690Z,-2.1613,140.1565,10,5.3,mb,,21,7.205,1.03,us,us100072ir,2016-10-28T01:09:48.206Z,"70km NW of Abepura, Indonesia",earthquake,7.5,1.8,0.041,198,reviewed,us,us
2016-10-27T23:55:23.920Z,8.1454,-82.6435,10,4.4,mb,,137,0.481,1.01,us,us100072it,2016-10-29T03:23:04.403Z,"25km SSW of Guarumal, Panama",earthquake,5.2,1.9,0.161,11,reviewed,us,us
2016-10-27T22:46:24.340Z,53.5623,-163.2527,10,4.4,mb,,167,1.3,1.19,us,us100072hk,2016-10-27T23:39:20.733Z,"143km S of False Pass, Alaska",earthquake,7,1.9,0.093,33,reviewed,us,us
2016-10-27T22:09:29.930Z,-33.7453,-72.6236,15.69,4.3,mwr,,182,0.845,0.89,us,us100072he,2016-10-27T22:53:59.040Z,"94km W of San Antonio, Chile",earthquake,4.2,5.7,0.043,53,reviewed,us,us
2016-10-27T22:08:34.700Z,19.4228333,-155.3276667,7.736,3.66,ml,51,64,0.03069,0.09,hv,hv61459911,2016-10-28T05:33:02.175Z,"9km W of Volcano, Hawaii",earthquake,0.25,0.38,0.245,28,reviewed,hv,hv
2016-10-27T21:53:59.160Z,-13.1809,167.0985,205.25,4.7,mb,,59,7.555,0.72,us,us100072hb,2016-10-27T22:40:59.040Z,"91km NNW of Sola, Vanuatu",earthquake,11.8,7.7,0.053,107,reviewed,us,us
2016-10-27T20:32:55.710Z,-33.7647,-72.5338,14.8,5.9,mwb,,80,0.773,1.14,us,us100072gn,2016-10-28T20:14:38.263Z,"86km WSW of San Antonio, Chile",earthquake,4.2,3,0.062,25,reviewed,us,us
2016-10-27T20:11:00.000Z,61.5102,-146.5753,14.6,2.9,ml,,,,0.85,ak,ak14278102,2016-10-27T20:51:36.279Z,"43km NNW of Valdez, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-10-27T17:22:24.040Z,42.8038,13.1004,10,4.2,mwr,,39,0.031,0.9,us,us100072fm,2016-10-27T18:27:22.225Z,"1km NNE of Norcia, Italy",earthquake,5.5,1.9,0.047,44,reviewed,us,us
2016-10-27T16:24:19.830Z,53.5468,-163.2541,8.77,4.3,mb,,161,1.315,1.13,us,us100072dz,2016-10-28T15:21:00.040Z,"145km S of False Pass, Alaska",earthquake,7.1,5.7,0.09,37,reviewed,us,us
2016-10-27T16:08:44.270Z,53.6053,-163.2391,10,3.3,ml,,208,1.258,1.22,us,us100072fv,2016-10-28T15:02:40.040Z,"139km S of False Pass, Alaska",earthquake,5.4,2,0.148,6,reviewed,us,us
2016-10-27T16:06:04.450Z,52.7542,-169.6658,170.57,3.2,ml,,195,0.155,0.97,us,us100072fu,2016-10-28T14:58:06.040Z,"57km WSW of Nikolski, Alaska",earthquake,9.7,11.6,,,reviewed,us,ak
2016-10-27T15:55:10.010Z,53.4356,-163.15,13.12,3.8,mb,,208,1.432,0.93,us,us100072gg,2016-10-28T14:43:40.040Z,"158km S of False Pass, Alaska",earthquake,7.4,10.7,0.153,11,reviewed,us,us
2016-10-27T15:54:40.660Z,53.4799,-163.0965,10,3.6,ml,,208,1.392,1.03,us,us100072fl,2016-10-28T14:13:41.040Z,"154km S of False Pass, Alaska",earthquake,5.9,2,0.115,10,reviewed,us,us
2016-10-27T15:50:37.920Z,-30.0482,-66.5345,25.56,4.6,mb,,57,2.376,0.98,us,us100072dj,2016-10-28T13:51:07.040Z,"40km NNW of Chamical, Argentina",earthquake,6.7,2.8,0.122,25,reviewed,us,us
2016-10-27T14:06:53.000Z,53.6114,-163.2938,39.8,3,ml,,,,0.71,ak,ak14277560,2016-10-27T17:17:56.657Z,"138km S of False Pass, Alaska",earthquake,0.8,0.9,,,reviewed,ak,ak
